REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2020,9999
REGION1,CO2,2021,9999
REGION1,CO2,2022,9999
REGION1,CO2,2023,9999
REGION1,CO2,2024,9999
REGION1,CO2,2025,9999
REGION1,CO2,2026,9999
REGION1,CO2,2027,9999
REGION1,CO2,2028,9999
REGION1,CO2,2029,9999
REGION1,CO2,2030,9999
REGION1,CO2,2031,9999
REGION1,CO2,2032,9999
REGION1,CO2,2033,9999
REGION1,CO2,2034,9999
REGION1,CO2,2035,9999
REGION1,CO2,2036,9999
REGION1,CO2,2037,9999
REGION1,CO2,2038,9999
REGION1,CO2,2039,9999
REGION1,CO2,2040,9999
REGION1,CO2,2041,9999
REGION1,CO2,2042,9999
REGION1,CO2,2043,9999
REGION1,CO2,2044,9999
REGION1,CO2,2045,9999
REGION1,CO2,2046,9999
REGION1,CO2,2047,9999
REGION1,CO2,2048,9999
REGION1,CO2,2049,9999
REGION1,CO2,2050,9999
