TIMESLICE,YEAR,VALUE
SEA1D,2020,0.15
SEA1N,2020,0.11
SEA2D,2020,0.16
SEA2N,2020,0.09
SEA3D,2020,0.1
SEA3N,2020,0.14
SEA4D,2020,0.09
SEA4N,2020,0.15
SEA1D,2021,0.15
SEA1N,2021,0.11
SEA2D,2021,0.16
SEA2N,2021,0.09
SEA3D,2021,0.1
SEA3N,2021,0.14
SEA4D,2021,0.09
SEA4N,2021,0.15
SEA1D,2022,0.15
SEA1N,2022,0.11
SEA2D,2022,0.16
SEA2N,2022,0.09
SEA3D,2022,0.1
SEA3N,2022,0.14
SEA4D,2022,0.09
SEA4N,2022,0.15
SEA1D,2023,0.15
SEA1N,2023,0.11
SEA2D,2023,0.16
SEA2N,2023,0.09
SEA3D,2023,0.1
SEA3N,2023,0.14
SEA4D,2023,0.09
SEA4N,2023,0.15
SEA1D,2024,0.15
SEA1N,2024,0.11
SEA2D,2024,0.16
SEA2N,2024,0.09
SEA3D,2024,0.1
SEA3N,2024,0.14
SEA4D,2024,0.09
SEA4N,2024,0.15
SEA1D,2025,0.15
SEA1N,2025,0.11
SEA2D,2025,0.16
SEA2N,2025,0.09
SEA3D,2025,0.1
SEA3N,2025,0.14
SEA4D,2025,0.09
SEA4N,2025,0.15
SEA1D,2026,0.15
SEA1N,2026,0.11
SEA2D,2026,0.16
SEA2N,2026,0.09
SEA3D,2026,0.1
SEA3N,2026,0.14
SEA4D,2026,0.09
SEA4N,2026,0.15
SEA1D,2027,0.15
SEA1N,2027,0.11
SEA2D,2027,0.16
SEA2N,2027,0.09
SEA3D,2027,0.1
SEA3N,2027,0.14
SEA4D,2027,0.09
SEA4N,2027,0.15
SEA1D,2028,0.15
SEA1N,2028,0.11
SEA2D,2028,0.16
SEA2N,2028,0.09
SEA3D,2028,0.1
SEA3N,2028,0.14
SEA4D,2028,0.09
SEA4N,2028,0.15
SEA1D,2029,0.15
SEA1N,2029,0.11
SEA2D,2029,0.16
SEA2N,2029,0.09
SEA3D,2029,0.1
SEA3N,2029,0.14
SEA4D,2029,0.09
SEA4N,2029,0.15
SEA1D,2030,0.15
SEA1N,2030,0.11
SEA2D,2030,0.16
SEA2N,2030,0.09
SEA3D,2030,0.1
SEA3N,2030,0.14
SEA4D,2030,0.09
SEA4N,2030,0.15
SEA1D,2031,0.15
SEA1N,2031,0.11
SEA2D,2031,0.16
SEA2N,2031,0.09
SEA3D,2031,0.1
SEA3N,2031,0.14
SEA4D,2031,0.09
SEA4N,2031,0.15
SEA1D,2032,0.15
SEA1N,2032,0.11
SEA2D,2032,0.16
SEA2N,2032,0.09
SEA3D,2032,0.1
SEA3N,2032,0.14
SEA4D,2032,0.09
SEA4N,2032,0.15
SEA1D,2033,0.15
SEA1N,2033,0.11
SEA2D,2033,0.16
SEA2N,2033,0.09
SEA3D,2033,0.1
SEA3N,2033,0.14
SEA4D,2033,0.09
SEA4N,2033,0.15
SEA1D,2034,0.15
SEA1N,2034,0.11
SEA2D,2034,0.16
SEA2N,2034,0.09
SEA3D,2034,0.1
SEA3N,2034,0.14
SEA4D,2034,0.09
SEA4N,2034,0.15
SEA1D,2035,0.15
SEA1N,2035,0.11
SEA2D,2035,0.16
SEA2N,2035,0.09
SEA3D,2035,0.1
SEA3N,2035,0.14
SEA4D,2035,0.09
SEA4N,2035,0.15
SEA1D,2036,0.15
SEA1N,2036,0.11
SEA2D,2036,0.16
SEA2N,2036,0.09
SEA3D,2036,0.1
SEA3N,2036,0.14
SEA4D,2036,0.09
SEA4N,2036,0.15
SEA1D,2037,0.15
SEA1N,2037,0.11
SEA2D,2037,0.16
SEA2N,2037,0.09
SEA3D,2037,0.1
SEA3N,2037,0.14
SEA4D,2037,0.09
SEA4N,2037,0.15
SEA1D,2038,0.15
SEA1N,2038,0.11
SEA2D,2038,0.16
SEA2N,2038,0.09
SEA3D,2038,0.1
SEA3N,2038,0.14
SEA4D,2038,0.09
SEA4N,2038,0.15
SEA1D,2039,0.15
SEA1N,2039,0.11
SEA2D,2039,0.16
SEA2N,2039,0.09
SEA3D,2039,0.1
SEA3N,2039,0.14
SEA4D,2039,0.09
SEA4N,2039,0.15
SEA1D,2040,0.15
SEA1N,2040,0.11
SEA2D,2040,0.16
SEA2N,2040,0.09
SEA3D,2040,0.1
SEA3N,2040,0.14
SEA4D,2040,0.09
SEA4N,2040,0.15
SEA1D,2041,0.15
SEA1N,2041,0.11
SEA2D,2041,0.16
SEA2N,2041,0.09
SEA3D,2041,0.1
SEA3N,2041,0.14
SEA4D,2041,0.09
SEA4N,2041,0.15
SEA1D,2042,0.15
SEA1N,2042,0.11
SEA2D,2042,0.16
SEA2N,2042,0.09
SEA3D,2042,0.1
SEA3N,2042,0.14
SEA4D,2042,0.09
SEA4N,2042,0.15
SEA1D,2043,0.15
SEA1N,2043,0.11
SEA2D,2043,0.16
SEA2N,2043,0.09
SEA3D,2043,0.1
SEA3N,2043,0.14
SEA4D,2043,0.09
SEA4N,2043,0.15
SEA1D,2044,0.15
SEA1N,2044,0.11
SEA2D,2044,0.16
SEA2N,2044,0.09
SEA3D,2044,0.1
SEA3N,2044,0.14
SEA4D,2044,0.09
SEA4N,2044,0.15
SEA1D,2045,0.15
SEA1N,2045,0.11
SEA2D,2045,0.16
SEA2N,2045,0.09
SEA3D,2045,0.1
SEA3N,2045,0.14
SEA4D,2045,0.09
SEA4N,2045,0.15
SEA1D,2046,0.15
SEA1N,2046,0.11
SEA2D,2046,0.16
SEA2N,2046,0.09
SEA3D,2046,0.1
SEA3N,2046,0.14
SEA4D,2046,0.09
SEA4N,2046,0.15
SEA1D,2047,0.15
SEA1N,2047,0.11
SEA2D,2047,0.16
SEA2N,2047,0.09
SEA3D,2047,0.1
SEA3N,2047,0.14
SEA4D,2047,0.09
SEA4N,2047,0.15
SEA1D,2048,0.15
SEA1N,2048,0.11
SEA2D,2048,0.16
SEA2N,2048,0.09
SEA3D,2048,0.1
SEA3N,2048,0.14
SEA4D,2048,0.09
SEA4N,2048,0.15
SEA1D,2049,0.15
SEA1N,2049,0.11
SEA2D,2049,0.16
SEA2N,2049,0.09
SEA3D,2049,0.1
SEA3N,2049,0.14
SEA4D,2049,0.09
SEA4N,2049,0.15
SEA1D,2050,0.15
SEA1N,2050,0.11
SEA2D,2050,0.16
SEA2N,2050,0.09
SEA3D,2050,0.1
SEA3N,2050,0.14
SEA4D,2050,0.09
SEA4N,2050,0.15
